name,obj_id,partial_cd_l2_x1000,3dsgrasp_cd_l2_x1000,adapointr_cd_l2_x1000,shape_comp_cd_l2_x1000,3dsgrasp_improvement_percent,adapointr_improvement_percent,shape_comp_improvement_percent,winner,partial_fscore_0p02,3dsgrasp_fscore_0p02,adapointr_fscore_0p02,shape_comp_fscore_0p02
scene000057_im000001_gt000001_obj000012,12,68.40781794210298,26.75616440228364,106.33081931377001,56.191063685699135,60.88727106464829,-55.43664819679412,17.85871063266994,3DSGrasp,0.2272178599297698,0.1669324690381437,0.1486485696259508,0.0466254411104765
scene000057_im000001_gt000002_obj000018,18,11.08594536522277,58.27690141935037,21.63817083063613,28.63730510265422,-425.6827406182991,-95.1856167225601,-158.32082117679425,AdaPoinTr,0.16432627642053252,0.36463077141229855,0.2031385411826208,0.1527872475120556
scene000057_im000001_gt000003_obj000020,20,10.091007645197047,12.099064246076248,13.279097856760904,52.84586079397905,-19.89946565777266,-31.593378220075678,-423.6926048622285,3DSGrasp,0.27215630468863933,0.4039862821112387,0.3010024944993849,0.1363629697744818
scene000057_im000001_gt000004_obj000021,21,124.59162191176655,25.990008838136074,177.29817070336236,173.4887368081041,79.13984227884785,-42.303445434654996,-39.245909272266786,3DSGrasp,0.09942324277705908,0.12479376511621047,0.05201299893053944,0.04026610236587183
scene000058_im000030_gt000000_obj000003,3,520.7424602130986,311.0043999151715,805.3156868803153,464.7834881031275,40.27673491654549,-54.6475942351164,10.74599756798621,3DSGrasp,0.12074213699903039,0.08045130091028528,0.054720135124362246,0.04188735875706215
scene000058_im000030_gt000001_obj000007,7,132.40605742926357,74.65496387813195,141.96486923182195,143.31301282975005,43.61665521381791,-7.219316085795446,-8.237504848532643,3DSGrasp,0.19090338003809906,0.17128793982176563,0.09858757663487738,0.08483947623396294
scene000058_im000030_gt000002_obj000008,8,61.63925176475272,10.742653247772225,118.785697474028,37.74813176101773,82.57173320537416,-92.71112817426092,38.75958795690101,3DSGrasp,0.16856235199594047,0.16669937272796953,0.0844837456751242,0.07902024503662297
scene000058_im000030_gt000003_obj000011,11,79.73523116168066,21.497343350338046,129.28474205608703,150.28750318049939,73.03909070414875,-62.14255627344188,-88.48318489948129,3DSGrasp,0.2887440956638193,0.12563909099656562,0.04316164697438163,0.06158745960295475
scene000059_im000001_gt000000_obj000002,2,84.09773505226809,15.241831955881812,150.46695857274278,73.10312229522307,81.87604940084442,-78.91915695378141,13.073613397806355,3DSGrasp,0.2016032968592331,0.14784517158818836,0.10351736442430025,0.08471767571094313
scene000059_im000001_gt000001_obj000004,4,127.77422523864276,29.440997828827772,198.78991389341337,115.41578245767535,76.95857848181737,-55.579040704128914,9.672093693298207,3DSGrasp,0.13990630222576725,0.09536818702622216,0.023242442477154047,0.06605050839964632
scene000059_im000001_gt000002_obj000006,6,86.75725194536744,28.541010381300804,46.68416249082213,68.52221442464366,67.1024499493442,46.189901773029916,21.01845910495955,3DSGrasp,0.18267697377844164,0.20790043005551817,0.18075351693729003,0.07814731292840822
scene000059_im000001_gt000003_obj000009,9,264.4158489270356,226.2722263964419,222.74516719222873,170.12956726063234,14.425618844473762,15.759524969437718,35.65833214953056,shape_comp,0.07532047706176366,0.11863751392287901,0.07588243692888359,0.08380862209724238
scene000059_im000001_gt000004_obj000015,15,34.93571263575313,13.514557676238041,103.78472806996623,121.14903418738263,61.31592385950852,-197.0734536090533,-246.77705146738296,3DSGrasp,0.1902014327375856,0.16021995064419875,0.10326729551669288,0.06097784624413145
scene000059_im000001_gt000005_obj000018,18,12.749383174340556,5.373926195342554,35.20016561454115,36.4433293540829,57.84952007593487,-176.09308727488164,-185.84386284215572,3DSGrasp,0.22965426205429498,0.26674458241737414,0.24496504359482085,0.124937603244726
