name,obj_id,num_partial_points,num_gt_points,num_adapointr_points,partial_cd_l2_x1000,adapointr_cd_l2_x1000,improvement_percent,partial_fscore_0p01,adapointr_fscore_0p01,partial_fscore_0p02,adapointr_fscore_0p02
scene000051_im000001_gt000000_obj000001,1,2048,8192,16384,209.5578594128634,292.36837506347825,-39.516778746753914,0.032656063766388556,0.003955785778985507,0.16451907467532467,0.018876922796972048
scene000051_im000001_gt000001_obj000003,3,2048,8192,16384,13.676083056551521,11.723901768293677,14.274418195512876,0.24036681439117755,0.06510476670506912,0.5080488759499014,0.18545218363038918
scene000051_im000001_gt000002_obj000004,4,2048,8192,16384,87.37768382778033,195.1235764399901,-123.31053867778729,0.014553931451612902,0.0007796748991935483,0.09699430418719211,0.004780586129926109
scene000051_im000001_gt000003_obj000012,12,2048,8192,16384,51.45136526965004,83.90543489159501,-63.07717871402894,0.08237479967948717,0.08152248267055819,0.3460831390531583,0.17534263084708487
scene000051_im000001_gt000004_obj000017,17,2048,8192,16384,50.6229415804982,134.93713359413027,-166.5533242068907,0.07179878048780487,0.0677898531303602,0.25087449717819404,0.21191001789667238
scene000052_im000001_gt000000_obj000005,5,2048,8192,16384,64.67300864117892,106.03855244251537,-63.96106300055132,0.06595810578478964,0.012271610383064516,0.2759390082046332,0.045843680014100864
scene000052_im000001_gt000001_obj000006,6,2048,8192,16384,46.17308181550538,55.81667476115703,-20.885746773812354,0.06272515741210277,0.03182712194515903,0.20808354005880192,0.10257884837962963
scene000052_im000001_gt000002_obj000011,11,2048,8192,16384,79.71531641894416,142.0131918560813,-78.15044615733622,0.07300477360210697,0.0063943142361111115,0.2720732240644965,0.030255717615927418
scene000053_im000001_gt000000_obj000004,4,2048,8192,16384,86.96857983767708,143.86228195919955,-65.41868595268774,0.046322505240511916,0.00600150381455399,0.2250616661224109,0.02303167257585752
scene000053_im000001_gt000001_obj000009,9,2048,8192,16384,115.36020515361668,172.8009900096401,-49.79254742095313,0.02888424295774648,0.007214902052238806,0.1475,0.033981090596973094
