name,obj_id,partial_cd_l2_x1000,3dsgrasp_cd_l2_x1000,adapointr_cd_l2_x1000,3dsgrasp_improvement_percent,adapointr_improvement_percent,winner
scene000051_im000001_gt000002_obj000004,4,87.37768382778033,22.250981743340773,195.1235764399901,74.53470867092676,-123.31053867778732,3DSGrasp
scene000051_im000001_gt000003_obj000012,12,51.45136526965004,15.026993890069832,83.90543489159501,70.79378980263152,-63.077178714028925,3DSGrasp
scene000051_im000001_gt000004_obj000017,17,50.6229415804982,53.19512861493201,134.93713359413027,-5.081069874897808,-166.55332420689075,3DSGrasp
scene000052_im000001_gt000000_obj000005,5,64.67300864117892,17.749048288111098,106.03855244251537,72.55570962132441,-63.96106300055131,3DSGrasp
scene000052_im000001_gt000001_obj000006,6,46.17308181550538,20.27198301163809,55.81667476115703,56.09566826698027,-20.885746773812357,3DSGrasp
scene000052_im000001_gt000002_obj000011,11,79.71531641894416,14.950834448588994,142.0131918560813,81.24471541953766,-78.15044615733622,3DSGrasp
scene000053_im000001_gt000000_obj000004,4,86.96857983767708,6.345581215706881,143.86228195919955,92.70359338102263,-65.41868595268772,3DSGrasp
scene000053_im000001_gt000001_obj000009,9,115.36020515361668,35.46431086944998,172.8009900096401,69.2577602282999,-49.79254742095314,3DSGrasp
scene000053_im000001_gt000002_obj000013,13,11.373975575952533,28.440023796803946,114.90130873135719,-150.0447060650751,-910.2123744162743,3DSGrasp
scene000054_im000001_gt000000_obj000002,2,64.24523519485389,11.6623463124582,97.15256037117959,81.84714200658361,-51.22142533453066,3DSGrasp
scene000054_im000001_gt000001_obj000003,3,44.200655259466245,10.249428607598428,81.6331585111637,76.81159125937764,-84.68766589988665,3DSGrasp
scene000054_im000001_gt000002_obj000012,12,41.381648033294184,11.053594640053396,62.749979234251185,73.28865532092857,-51.63721653561214,3DSGrasp
scene000054_im000001_gt000003_obj000015,15,24.357230448795928,5.336854729560258,80.13183581108879,78.0892382622094,-228.98582611657318,3DSGrasp
scene000054_im000001_gt000004_obj000019,19,13.539195192479244,11.174320184606783,12.949415956159363,17.466880226278906,4.3560878466948445,3DSGrasp
scene000055_im000022_gt000000_obj000001,1,53.412817460120664,5.668442028011269,79.57868486266425,89.38748731567387,-48.987993232297974,3DSGrasp
scene000055_im000022_gt000001_obj000003,3,39.31080492564112,10.742700181852776,40.780328247693234,72.67239833380854,-3.7382173293877043,3DSGrasp
